	Agric	Mining	Manufacturing	Electricity and utilities	Construction	Transport	Services
p64	0	0	0	0	0	0	1
p65	0	0	0	0	0	0	1
p66	0	0	0	0	0	0	1
p67	0	0	0	0	0	0	1
p70	0	0	0	0	0	0	1
p71	0	0	0	0	0	0	1
p72	0	0	0	0	0	0	1
p73	0	0	0	0	0	0	1
p74	0	0	0	0	0	0	1
p75	0	0	0	0	0	0	1
p80	0	0	0	0	0	0	1
p85	0	0	0	0	0	0	1
p90.1.a	0	0	0	0	0	0	1
p90.1.b	0	0	0	0	0	0	1
p90.1.c	0	0	0	0	0	0	1
p90.1.d	0	0	0	0	0	0	1
p90.1.e	0	0	0	0	0	0	1
p90.1.f	0	0	0	0	0	0	1
p90.1.g	0	0	0	0	0	0	1
p90.2.a	0	0	0	0	0	0	1
p90.2.b	0	0	0	0	0	0	1
p90.2.c	0	0	0	0	0	0	1
p90.3.a	0	0	0	0	0	0	1
p90.3.b	0	0	0	0	0	0	1
p90.4.a	0	0	0	0	0	0	1
p90.4.b	0	0	0	0	0	0	1
p90.5.a	0	0	0	0	0	0	1
p90.5.b	0	0	0	0	0	0	1
p90.5.c	0	0	0	0	0	0	1
p90.5.d	0	0	0	0	0	0	1
p90.5.e	0	0	0	0	0	0	1
p90.5.f	0	0	0	0	0	0	1
p91	0	0	0	0	0	0	1
p92	0	0	0	0	0	0	1
p93	0	0	0	0	0	0	1
p95	0	0	0	0	0	0	1
p99	0	0	0	0	0	0	1
